county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_covid_suspected_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_covid_suspected_patients,icu_available_beds
Santa Clara,2021-01-01,682,21,3108,158,4,35
Butte,2021-01-01,81,2,451,18,1,3
Madera,2021-01-01,49,3,288,8,1,9
Shasta,2021-01-01,40,1,567,8,0,12
Yuba,2021-01-01,69,17,261,20,0,1
Kings,2021-01-01,81,0,127,11,0,0
Alameda,2021-01-01,430,38,2514,114,4,63
Ventura,2021-01-01,359,16,1219,75,2,27
Humboldt,2021-01-01,5,2,269,1,1,20
Plumas,2021-01-01,2,0,35,0,0,0
El Dorado,2021-01-01,33,0,190,9,0,2
Placer,2021-01-01,193,13,754,26,2,21
Sonoma,2021-01-01,94,4,618,20,0,10
Merced,2021-01-01,53,0,272,18,0,3
Sutter,2021-01-01,0,0,14,0,0,0
Trinity,2021-01-01,0,0,25,0,0,0
Orange,2021-01-01,2057,55,6079,506,6,86
Lake,2021-01-01,9,0,77,5,0,1
Monterey,2021-01-01,194,0,717,31,0,37
Tehama,2021-01-01,22,0,59,5,0,0
Colusa,2021-01-01,5,0,48,0,0,5
San Diego,2021-01-01,1497,63,6740,377,9,177
Modoc,2021-01-01,2,0,12,0,0,0
Del Norte,2021-01-01,3,0,51,1,0,0
Inyo,2021-01-01,6,1,29,2,0,2
San Luis Obispo,2021-01-01,50,2,354,15,0,112
Mariposa,2021-01-01,0,0,19,0,0,0
Calaveras,2021-01-01,2,0,33,0,0,4
Marin,2021-01-01,37,3,339,9,0,9
Santa Cruz,2021-01-01,77,0,372,18,0,2
Tuolumne,2021-01-01,14,0,84,1,0,1
Nevada,2021-01-01,10,4,129,4,0,0
San Bernardino,2021-01-01,1676,86,4093,349,1,49
Imperial,2021-01-01,176,0,265,59,0,4
San Joaquin,2021-01-01,300,13,908,79,3,7
Amador,2021-01-01,10,0,52,4,0,0
Mendocino,2021-01-01,12,0,121,3,0,4
San Benito,2021-01-01,16,0,25,4,0,0
Mono,2021-01-01,0,0,17,0,0,1
San Francisco,2021-01-01,209,5,1949,55,1,58
Los Angeles,2021-01-01,7544,280,20331,1587,27,325
Yolo,2021-01-01,24,0,169,12,0,16
Napa,2021-01-01,30,0,252,16,0,4
Riverside,2021-01-01,1486,117,3567,296,4,23
San Mateo,2021-01-01,171,6,733,40,1,23
Kern,2021-01-01,364,10,1140,83,0,12
Sacramento,2021-01-01,469,29,2613,109,3,68
Santa Barbara,2021-01-01,136,7,668,39,0,25
Siskiyou,2021-01-01,5,0,56,2,0,7
Glenn,2021-01-01,11,0,47,0,0,0
Solano,2021-01-01,146,13,583,41,2,2
Tulare,2021-01-01,225,7,626,22,1,14
Stanislaus,2021-01-01,325,9,1297,69,1,15
Lassen,2021-01-01,5,0,25,0,0,0
Fresno,2021-01-01,597,20,1543,135,1,10
Contra Costa,2021-01-01,251,12,1549,67,0,26
Trinity,2021-01-02,0,0,25,0,0,0
