household_id,door_screens,house_type,concrete_house
1,0,Single,1
2,0,Single,1
3,0,Poles,0
4,1,Single,1
5,0,Single,0
6,0,Single,1
7,0,Single,1
8,0,Single,1
9,0,Single,1
10,0,Poles,0
11,0,Single,1
12,0,Single,1
13,1,Single,1
14,0,Poles,0
15,0,Single,1
16,0,Poles,0
17,0,Single,1
18,1,Townhouse,1
19,0,Single,1
20,0,Single,1
21,0,Single,1
22,0,Single,1
23,1,Single,1
24,1,Townhouse,1
25,0,Townhouse,1
26,0,Single,1
27,0,Poles,0
28,0,Poles,0
29,0,Poles,0
30,1,Single,1
31,0,Single,1
32,0,Single,0
33,0,Single,1
34,0,Single,1
35,0,Single,1
36,0,Single,1
37,0,Single,1
38,0,Single,1
39,0,Poles,1
40,0,Single,1
41,0,Single,0
42,0,Single,1
43,1,Single,1
44,0,Single,1
45,1,Single,1
46,0,Poles,0
47,1,Single,1
48,0,Poles,1
49,1,Single,1
50,1,Single,1
51,1,Single,1
52,0,Poles,0
53,0,Poles,0
54,0,Poles,0
55,0,Single,1
56,1,Single,1
57,1,Poles,1
58,1,Townhouse,1
59,0,Single,1
60,1,Single,1
61,1,Single,1
62,0,Single,1
63,0,Single,1
64,1,Single,1
65,0,Single,1
66,0,Single,1
67,1,Single,1
68,0,Single,1
69,0,Single,0
70,1,Single,1
71,0,Single,0
72,0,Single,1
73,0,Single,1
74,0,Townhouse,1
75,1,Single,1
76,1,Single,1
77,1,Single,1
78,1,Single,1
79,1,Single,1
80,1,Single,1
81,0,Single,1
82,1,Single,1
83,0,Single,1
84,1,Single,1
85,0,Single,1
86,0,Single,1
87,0,Single,1
88,0,Single,1
89,0,Single,1
90,0,Single,1
91,0,Single,1
92,0,Poles,0
93,0,Single,1
94,0,Single,1
95,0,Single,1
96,1,Single,1
97,0,Single,1
98,0,Single,1
99,0,Poles,0
100,0,Single,1
101,1,Single,1
102,1,Townhouse,1
103,1,Single,1
104,0,Single,1
105,0,Single,1
106,0,Single,1
107,0,Poles,1
108,0,Single,1
109,0,Single,1
110,0,Single,1
111,0,Single,0
112,0,Single,1
113,0,Single,1
114,0,Poles,0
115,0,Single,1
116,0,Poles,0
117,0,Single,0
118,1,Single,1
119,0,Poles,0
120,0,Single,1
121,1,Poles,1
122,0,Single,1
123,0,Single,1
124,0,Single,1
125,0,Single,1
126,0,Single,0
127,1,Single,1
128,0,Poles,0
129,1,Single,1
130,0,Single,1
131,1,Single,1
132,0,Single,0
133,1,Single,1
134,0,Single,0
135,0,Single,1
136,0,Single,1
137,0,Poles,0
138,0,Single,1
139,0,Poles,0
140,0,Single,1
141,1,Single,1
142,0,Poles,0
143,0,Poles,0
144,0,Poles,0
145,0,Poles,0
146,0,Single,1
147,0,Single,1
148,0,Single,0
149,0,Single,1
150,0,Single,0
151,0,Single,1
152,0,Single,0
153,0,Single,1
154,0,Poles,1
155,0,Single,1
156,0,Single,1
157,1,Townhouse,1
158,1,Townhouse,1
159,1,Townhouse,1
160,1,Townhouse,1
161,0,Poles,0
162,0,Single,0
163,0,Single,1
164,1,Single,1
165,0,Single,1
166,0,Poles,1
167,0,Single,1
168,0,Poles,1
169,0,Single,1
170,0,Poles,1
171,0,Single,1
172,0,Single,1
173,1,Single,1
174,0,Single,1
175,0,Single,1
176,1,Poles,1
177,0,Single,1
178,0,Single,1
179,0,Poles,0
180,0,Single,1
181,0,Single,1
182,0,Single,1
183,0,Poles,0
184,0,Single,1
185,0,Single,1
186,0,Single,0
187,0,Single,0
188,0,Single,1
189,1,Single,1
190,0,Single,1
191,1,Single,1
192,0,Single,1
193,0,Single,1
194,0,Single,1
195,0,Single,0
196,0,Single,0
197,0,Single,1
198,0,Single,1
199,0,Poles,0
200,0,Single,1
201,0,Poles,0
202,0,Single,1
203,0,Poles,1
204,0,Single,0
205,0,Single,1
206,0,Single,1
207,1,Single,1
208,0,Single,0
209,0,Single,1
210,1,Single,1
211,0,Single,1
212,0,Single,1
213,0,Single,1
214,1,Single,1
215,0,Single,1
216,0,Single,1
217,0,Single,0
218,1,Single,1
219,1,Single,1
220,0,Poles,0
221,1,Single,1
222,0,Poles,0
223,1,Single,1
224,0,Single,1
225,1,Single,1
226,0,Single,1
227,0,Single,1
228,0,Single,1
229,0,Single,1
230,0,Single,1
231,0,Poles,1
232,0,Poles,0
233,0,Single,1
234,0,Poles,0
235,0,Single,1
236,0,Poles,0
237,1,Single,1
238,0,Poles,0
239,0,Poles,0
240,0,Poles,0
241,0,Poles,1
242,1,Poles,1
243,0,Poles,1
244,0,Single,1
245,0,Poles,1
246,0,Single,1
247,0,Poles,1
248,0,Single,1
249,0,Poles,1
250,0,Single,1
251,0,Single,0
252,0,Poles,1
253,0,Single,1
254,0,Single,1
255,0,Poles,0
256,0,Single,1
257,0,Single,1
258,1,Single,1
259,1,Single,1
260,0,Single,1
261,0,Single,1
262,0,Single,1
263,0,Poles,0
264,0,Single,1
265,0,Poles,0
266,0,Single,1
267,0,Poles,0
268,0,Single,1
269,1,Single,1
270,0,Single,1
271,0,Single,0
272,0,Single,0
273,0,Single,1
274,1,Single,1
275,1,Townhouse,1
276,1,Townhouse,1
277,0,Single,1
278,0,Poles,0
279,0,Poles,1
280,0,Single,1
281,0,Poles,0
282,0,Single,0
283,0,Single,1
284,0,Poles,0
285,0,Single,1
286,0,Poles,0
287,0,Poles,1
288,0,Single,1
289,0,Single,1
290,0,Single,1
291,0,Poles,0
292,0,Single,1
293,1,Single,1
294,0,Poles,0
295,0,Single,1
296,0,Poles,0
297,0,Single,1
298,1,Poles,1
299,0,Single,0
300,1,Single,1
301,0,Single,1
302,0,Townhouse,1
303,0,Single,1
304,0,Single,1
305,0,Single,1
306,0,Poles,0
307,0,Single,1
308,0,Poles,0
309,0,Single,1
310,1,Single,1
311,0,Poles,0
312,1,Single,1
313,0,Poles,0
314,0,Single,1
315,0,Single,1
316,1,Single,1
317,0,Single,1
318,0,Poles,1
319,0,Single,1
320,0,Single,1
321,0,Poles,0
322,0,Single,1
323,0,Poles,0
324,0,Single,1
325,0,Single,0
326,0,Single,1
327,0,Single,1
328,1,Townhouse,1
329,0,Poles,0
330,0,Single,1
331,1,Single,1
332,0,Single,1
333,1,Poles,1
334,0,Single,1
335,0,Poles,1
336,0,Single,0
337,0,Single,1
338,1,Single,1
339,0,Single,1
340,0,Single,1
341,1,Single,1
342,0,Single,1
343,1,Single,1
344,0,Single,1
345,0,Single,1
346,0,Single,1
347,0,Poles,0
348,0,Single,1
349,0,Poles,0
350,0,Single,1
351,0,Poles,0
352,0,Poles,0
353,0,Poles,1
354,0,Poles,0
355,0,Single,1
356,0,Single,1
357,1,Single,1
358,0,Single,1
359,0,Poles,0
360,0,Single,1
361,0,Poles,0
362,0,Poles,0
363,0,Poles,1
364,1,Single,1
365,0,Single,1
366,0,Single,0
367,1,Poles,1
368,0,Single,1
369,1,Townhouse,1
370,0,Single,1
371,1,Single,1
372,0,Single,1
373,1,Single,1
374,0,Single,1
375,0,Single,1
376,0,Single,1
377,0,Single,1
378,0,Single,1
379,0,Single,1
380,0,Single,1
381,0,Single,1
382,0,Single,1
383,1,Single,1
384,0,Single,1
385,0,Single,1
386,1,Single,1
387,0,Single,1
388,1,Single,1
389,0,Single,1
390,1,Single,1
391,0,Single,0
392,1,Single,1
393,0,Poles,1
394,0,Single,1
395,0,Single,1
396,0,Single,1
397,0,Single,1
398,1,Single,1
399,0,Single,1
400,0,Single,1
401,0,Townhouse,1
402,0,Poles,0
403,1,Single,1
404,0,Single,1
405,0,Single,1
406,0,Single,0
407,1,Single,1
408,0,Single,1
409,0,Single,1
410,0,Single,0
411,0,Single,1
412,0,Poles,0
413,0,Single,1
414,0,Single,0
415,0,Single,0
416,0,Single,1
417,0,Single,1
418,1,Single,1
419,0,Townhouse,1
420,0,Poles,0
421,0,Single,1
422,1,Single,1
423,0,Single,1
424,0,Single,0
425,0,Single,1
426,0,Single,1
427,0,Single,1
428,0,Poles,1
429,1,Single,1
430,0,Single,1
431,0,Poles,0
432,0,Single,1
433,0,Single,1
434,1,Townhouse,1
435,1,Single,1
436,0,Single,1
437,1,Single,1
438,0,Single,1
439,1,Single,1
440,0,Single,1
441,0,Single,1
442,0,Townhouse,1
443,0,Poles,0
444,0,Townhouse,1
445,0,Poles,0
446,0,Single,1
447,1,Single,0
448,0,Single,1
449,0,Poles,0
450,0,Single,1
451,0,Poles,0
452,0,Single,1
453,0,Single,0
454,0,Single,0
455,0,Single,1
456,1,Single,1
457,0,Single,0
458,0,Single,1
459,0,Single,0
460,0,Single,1
461,0,Single,1
462,0,Poles,1
463,0,Single,1
464,0,Poles,1
465,0,Single,1
466,0,Poles,0
467,0,Single,1
468,0,Single,1
469,0,Single,1
470,0,Single,1
471,0,Poles,1
472,0,Single,1
473,1,Single,1
474,0,Single,1
475,1,Single,1
476,0,Single,1
477,0,Single,0
478,0,Single,1
479,0,Single,1
480,0,Poles,0
481,1,Single,1
482,0,Single,1
483,0,Single,0
484,0,Poles,0
485,1,Single,1
486,0,Single,1
487,0,Single,1
488,0,Single,1
489,1,Single,1
490,0,Single,1
491,0,Single,1
492,0,Single,1
493,0,Single,0
494,1,Single,1
495,0,Single,1
496,0,Single,1
497,1,Single,1
498,1,Single,1
499,0,Single,1
500,0,Poles,1
501,0,Single,1
502,0,Poles,1
503,0,Poles,0
504,0,Poles,1
505,0,Single,1
506,1,Single,1
507,0,Poles,0
508,0,Poles,1
509,0,Single,0
510,0,Single,1
511,0,Single,0
512,0,Single,1
513,0,Single,1
514,1,Single,1
515,0,Single,1
516,1,Single,1
517,0,Poles,1
518,1,Single,1
519,0,Poles,1
520,1,Townhouse,1
521,0,Single,1
522,0,Poles,0
523,1,Single,1
524,0,Single,0
525,0,Single,0
526,0,Single,1
527,1,Single,1
528,0,Single,1
529,0,Single,1
530,0,Single,0
531,0,Single,1
532,0,Poles,0
533,0,Single,0
534,0,Single,1
535,0,Single,1
536,0,Single,0
537,0,Single,1
538,0,Single,0
539,0,Single,1
540,0,Single,1
541,0,Poles,0
542,0,Single,0
543,1,Single,1
544,0,Single,1
545,0,Single,1
546,0,Single,0
547,1,Single,1
548,0,Single,1
549,0,Single,1
550,0,Single,0
551,0,Single,1
552,0,Townhouse,1
553,0,Single,1
554,0,Single,0
555,0,Single,0
556,0,Single,1
557,1,Single,1
558,0,Single,1
559,0,Poles,1
560,0,Townhouse,1
561,1,Single,1
562,0,Poles,1
563,0,Single,1
564,0,Poles,0
565,0,Single,1
566,0,Poles,0
567,0,Single,1
568,1,Single,1
569,0,Single,0
570,1,Single,1
571,0,Poles,0
572,0,Single,1
573,0,Poles,0
574,0,Single,1
575,0,Single,1
576,0,Single,0
577,0,Single,0
578,0,Single,0
579,0,Single,0
580,0,Single,1
581,0,Poles,0
582,0,Single,1
583,0,Single,1
584,0,Poles,0
585,0,Poles,0
586,0,Single,1
587,0,Poles,0
588,0,Single,1
589,0,Poles,0
590,1,Single,1
591,0,Single,1
592,1,Single,1
593,0,Single,1
594,1,Single,1
595,0,Single,0
596,0,Single,1
597,0,Townhouse,1
598,1,Poles,1
599,1,Single,1
600,0,Single,1
601,1,Poles,1
602,0,Single,0
603,0,Single,0
604,0,Single,0
605,0,Single,0
606,0,Single,1
607,0,Single,1
608,0,Single,0
609,0,Poles,0
610,0,Single,1
611,0,Poles,0
612,0,Single,1
613,0,Single,1
614,0,Single,1
615,0,Poles,1
616,0,Single,0
617,0,Single,1
618,0,Single,1
619,0,Single,1
620,0,Single,1
621,0,Single,1
622,0,Single,0
623,0,Single,0
624,0,Single,0
625,0,Single,1
626,0,Single,1
627,0,Single,1
628,1,Single,1
629,0,Single,1
630,0,Single,1
631,1,Single,1
632,0,Townhouse,1
633,0,Poles,0
634,1,Single,1
635,0,Poles,0
636,0,Poles,1
637,0,Single,1
638,0,Poles,1
639,0,Poles,0
640,0,Single,1
641,0,Single,0
642,1,Single,1
643,0,Poles,0
644,0,Single,1
645,0,Single,1
646,0,Poles,0
647,1,Single,1
648,0,Single,1
649,0,Single,0
650,0,Single,1
651,0,Single,1
652,1,Single,1
653,0,Single,1
654,0,Single,1
655,0,Single,1
656,1,Single,1
657,0,Single,1
658,0,Poles,0
659,0,Single,1
660,0,Single,1
661,1,Townhouse,1
662,0,Townhouse,1
663,0,Poles,0
664,0,Poles,0
665,0,Single,1
666,0,Single,1
667,0,Poles,1
668,0,Single,1
669,0,Single,0
670,1,Single,1
671,0,Poles,1
672,0,Poles,0
673,0,Single,1
674,1,Poles,1
675,0,Single,1
676,1,Single,1
677,1,Single,1
678,0,Single,1
679,0,Single,0
680,1,Single,1
681,0,Single,0
682,0,Single,1
683,0,Single,1
684,1,Single,1
685,0,Single,1
686,0,Single,1
687,0,Single,1
688,0,Single,1
689,0,Single,1
690,1,Single,1
691,0,Single,1
692,0,Poles,0
693,0,Single,1
694,0,Single,1
695,0,Single,1
696,0,Single,1
697,0,Single,1
698,0,Single,1
699,0,Poles,0
700,1,Single,1
701,0,Poles,0
702,0,Single,1
703,1,Poles,1
704,0,Single,1
705,0,Single,1
706,0,Single,0
707,1,Single,1
708,0,Poles,0
709,1,Single,1
710,0,Single,0
711,0,Single,1
712,0,Single,1
713,0,Poles,0
714,0,Single,1
715,1,Single,1
716,0,Single,1
717,0,Single,0
718,0,Single,1
719,0,Poles,1
720,0,Single,1
721,1,Townhouse,1
722,1,Townhouse,1
723,0,Single,0
724,1,Single,1
725,0,Single,1
726,0,Poles,1
727,0,Single,1
728,0,Single,1
729,0,Single,1
730,1,Single,1
731,0,Single,1
732,1,Poles,1
733,0,Single,1
734,0,Single,1
735,0,Poles,0
736,0,Single,1
737,0,Single,0
738,0,Single,0
739,0,Single,1
740,1,Single,1
741,0,Single,1
742,0,Single,1
743,0,Single,1
744,0,Single,0
745,0,Single,0
746,0,Single,1
747,0,Single,1
748,0,Single,1
749,0,Single,0
750,0,Single,1
751,0,Single,1
752,1,Single,1
753,0,Single,1
754,0,Single,1
755,0,Single,0
756,1,Single,1
757,1,Single,1
758,0,Single,1
759,0,Poles,1
760,0,Poles,0
761,1,Single,1
762,0,Poles,0
763,1,Single,1
764,0,Poles,0
765,0,Poles,0
766,1,Poles,1
767,0,Single,1
768,0,Single,1
769,0,Poles,1
770,0,Single,1
771,0,Single,0
772,0,Poles,1
773,0,Single,1
774,0,Single,1
775,0,Single,1
776,1,Single,1
777,1,Single,1
778,1,Single,1
779,0,Single,1
780,1,Single,1
781,1,Townhouse,1
782,1,Townhouse,1
783,0,Single,1
784,0,Poles,0
785,0,Poles,1
786,0,Single,1
787,0,Poles,0
788,0,Single,1
789,0,Poles,0
790,0,Poles,1
791,0,Single,1
792,0,Poles,0
793,0,Single,1
794,0,Single,1
795,1,Poles,1
796,0,Single,0
797,1,Single,1
798,0,Single,1
799,0,Townhouse,1
800,0,Single,1
801,0,Single,1
802,0,Single,1
803,0,Poles,0
804,1,Single,1
805,0,Poles,0
806,0,Single,1
807,0,Single,1
808,0,Single,1
809,0,Single,1
810,1,Townhouse,1
811,0,Poles,0
812,0,Single,1
813,1,Single,1
814,0,Single,0
815,0,Single,1
816,1,Single,1
817,0,Single,1
818,0,Single,1
819,0,Poles,0
820,0,Poles,1
821,0,Poles,0
822,0,Single,1
823,0,Single,1
824,0,Single,1
825,0,Poles,0
826,0,Single,1
827,0,Poles,0
828,0,Single,1
829,0,Single,0
830,1,Poles,1
831,1,Single,1
832,0,Single,1
833,1,Single,1
834,0,Single,1
835,0,Single,1
836,0,Single,1
837,0,Single,1
838,0,Single,1
839,0,Single,1
840,0,Poles,1
841,0,Single,1
842,0,Single,1
843,0,Single,1
844,1,Single,1
845,0,Single,1
846,1,Single,1
847,0,Single,1
848,0,Single,1
849,0,Single,0
850,1,Single,1
851,0,Single,1
852,0,Single,1
853,0,Single,0
854,0,Single,1
855,0,Single,0
856,0,Single,0
857,1,Single,1
858,0,Townhouse,1
859,0,Single,1
860,1,Single,1
861,0,Single,1
862,0,Poles,1
863,0,Poles,0
864,0,Single,1
865,1,Townhouse,1
866,1,Single,1
867,0,Single,1
868,0,Single,1
869,0,Townhouse,1
870,0,Poles,0
871,0,Townhouse,1
872,0,Single,1
873,0,Poles,0
874,0,Single,1
875,0,Poles,0
876,0,Single,1
877,0,Single,0
878,0,Single,0
879,0,Single,1
880,1,Single,1
881,0,Single,0
882,0,Single,1
883,0,Poles,1
884,0,Single,1
885,1,Single,1
886,1,Single,1
887,1,Single,1
888,0,Single,1
889,0,Single,1
890,1,Single,1
891,0,Single,1
892,0,Single,1
893,0,Single,0
894,0,Single,1
895,1,Single,1
896,1,Single,1
897,0,Single,1
898,0,Single,1
899,0,Single,1
900,0,Poles,1
901,0,Single,0
902,0,Single,1
903,1,Single,1
904,0,Single,0
905,0,Single,0
906,0,Single,1
907,0,Single,1
908,0,Single,0
909,0,Single,1
910,0,Single,1
911,0,Poles,0
912,0,Single,0
913,0,Single,0
914,1,Single,1
915,0,Single,1
916,0,Townhouse,1
917,0,Single,1
918,0,Single,1
919,0,Single,0
920,0,Single,1
921,0,Single,1
922,0,Poles,0
923,0,Single,1
924,0,Poles,0
925,0,Single,1
926,1,Single,1
927,0,Single,0
928,0,Townhouse,1
929,1,Single,1
930,0,Single,1
931,1,Poles,1
932,0,Single,1
933,0,Single,0
934,0,Poles,0
935,0,Single,1
936,0,Single,1
937,0,Single,1
938,0,Poles,1
939,0,Single,0
940,0,Single,1
941,0,Single,0
942,0,Single,1
943,0,Single,1
944,0,Single,1
945,1,Single,1
946,0,Poles,1
947,0,Single,1
948,0,Single,1
949,0,Single,0
950,1,Single,1
951,0,Poles,0
952,0,Single,1
