hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
1,0,Single,1,Unknown,Car,0
2,0,Single,1,1,Burn,0
3,0,Poles,0,Unknown,Burn,1
4,1,Single,1,1,Car,0
5,0,Single,0,Unknown,Car,0
6,0,Single,1,1,Car,0
7,0,Single,1,1,Burn,0
8,0,Single,1,1,Car,1
9,0,Single,1,1,Burn,0
10,0,Poles,0,1,Car,0
11,0,Single,1,1,Car,0
12,0,Single,1,1,Burn,0
13,1,Single,1,1,Car,0
14,0,Poles,0,1,Burn,1
15,0,Single,1,1,Burn,0
16,0,Poles,0,1,Car,1
17,0,Single,1,1,Burn,0
18,1,Townhouse,1,1,Car,1
19,0,Single,1,Unknown,Burn,0
20,0,Single,1,1,Burn,0
21,0,Single,1,Unknown,Car,0
22,0,Single,1,1,Burn,1
23,1,Single,1,1,Burn,0
24,1,Townhouse,1,1,Dump,0
25,0,Townhouse,1,Unknown,Car,0
26,0,Single,1,Unknown,Car,0
27,0,Poles,0,1,Burn,1
28,0,Poles,0,1,Burn,0
29,0,Poles,0,1,Burn,1
30,1,Single,1,1,Car,0
31,0,Single,1,Unknown,Dump,3
32,0,Single,0,Unknown,Car,0
33,0,Single,1,1,Burn,0
34,0,Single,1,1,Car,1
35,0,Single,1,1,Car,0
36,0,Single,1,1,Car,1
37,0,Single,1,1,Car,0
38,0,Single,1,1,Burn,0
39,0,Poles,1,1,Burn,2
40,0,Single,1,1,Car,1
41,0,Single,0,1,Car,0
42,0,Single,1,1,Burn,0
43,1,Single,1,1,Car,0
44,0,Single,1,1,Car,0
45,1,Single,1,1,Car,0
46,0,Poles,0,Unknown,Burn,2
47,1,Single,1,1,Car,0
48,0,Poles,1,1,Car,0
49,1,Single,1,1,Car,0
50,1,Single,1,1,Burn,0
51,1,Single,1,1,Car,0
52,0,Poles,0,1,Burn,1
53,0,Poles,0,1,Car,1
54,0,Poles,0,1,Burn,1
55,0,Single,1,1,Car,0
56,1,Single,1,1,Burn,1
57,1,Poles,1,1,Burn,0
58,1,Townhouse,1,1,Car,0
59,0,Single,1,1,Car,0
60,1,Single,1,1,Car,0
61,1,Single,1,1,Car,1
62,0,Single,1,1,Car,0
63,0,Single,1,0,Car,0
64,1,Single,1,1,Car,0
65,0,Single,1,1,Car,0
66,0,Single,1,1,Car,1
67,1,Single,1,1,Car,0
68,0,Single,1,1,Dump,0
69,0,Single,0,Unknown,Car,0
70,1,Single,1,Unknown,Car,0
71,0,Single,0,Unknown,Car,0
72,0,Single,1,1,Burn,1
73,0,Single,1,1,Burn,0
74,0,Townhouse,1,1,Car,0
75,1,Single,1,1,Dump,1
76,1,Single,1,1,Dump,0
77,1,Single,1,1,Dump,1
78,1,Single,1,1,Dump,0
79,1,Single,1,1,Dump,1
80,1,Single,1,1,Dump,0
81,0,Single,1,Unknown,Dump,0
82,1,Single,1,1,Dump,0
83,0,Single,1,1,Dump,1
84,1,Single,1,1,Dump,0
85,0,Single,1,1,Burn,0
86,0,Single,1,1,Burn,1
87,0,Single,1,1,Car,1
88,0,Single,1,Unknown,Burn,1
89,0,Single,1,Unknown,Burn,0
90,0,Single,1,1,Car,1
91,0,Single,1,1,Burn,1
92,0,Poles,0,1,Burn,1
93,0,Single,1,1,Car,1
94,0,Single,1,Unknown,Car,0
95,0,Single,1,1,Car,1
96,1,Single,1,1,Burn,0
97,0,Single,1,1,Burn,1
98,0,Single,1,1,Car,1
99,0,Poles,0,1,Car,2
100,0,Single,1,1,Car,1
101,1,Single,1,1,Car,1
102,1,Townhouse,1,1,Car,0
103,1,Single,1,1,Car,1
104,0,Single,1,1,Car,0
105,0,Single,1,Unknown,Burn,0
106,0,Single,1,Unknown,Burn,1
107,0,Poles,1,1,Burn,1
108,0,Single,1,1,Car,1
109,0,Single,1,1,Burn,1
110,0,Single,1,1,Burn,0
111,0,Single,0,1,Car,1
112,0,Single,1,1,Car,1
113,0,Single,1,Unknown,Car,0
114,0,Poles,0,1,Car,1
115,0,Single,1,1,Car,1
116,0,Poles,0,1,Burn,1
117,0,Single,0,1,Burn,1
118,1,Single,1,1,Burn,0
119,0,Poles,0,1,Burn,1
120,0,Single,1,1,Car,0
121,1,Poles,1,1,Car,1
122,0,Single,1,1,Car,0
123,0,Single,1,1,Dump,0
124,0,Single,1,1,Car,0
125,0,Single,1,1,Burn,0
126,0,Single,0,1,Burn,1
127,1,Single,1,1,Car,0
128,0,Poles,0,1,Car,1
129,1,Single,1,1,Car,0
130,0,Single,1,1,Car,1
131,1,Single,1,1,Car,1
132,0,Single,0,1,Car,0
133,1,Single,1,1,Car,1
134,0,Single,0,1,Car,0
135,0,Single,1,Unknown,Burn,1
136,0,Single,1,1,Burn,2
