date,patient_vol_influenza,patient_vol_influenza_icu,admits_influenza
2021-01-01,144,27,10
2021-01-02,143,24,6
2021-01-03,141,29,7
2021-01-04,146,36,4
2021-01-05,154,32,10
2021-01-06,153,34,10
2021-01-07,158,37,14
2021-01-08,166,34,20
2021-01-09,171,34,6
2021-01-10,174,30,9
2021-01-11,188,42,4
2021-01-12,70,21,4
2021-01-13,64,20,3
2021-01-14,63,19,4
2021-01-15,64,16,5
2021-01-16,56,10,4
2021-01-17,56,10,2
2021-01-18,59,13,6
2021-01-19,61,15,5
2021-01-20,53,13,6
2021-01-21,53,19,6
2021-01-22,52,16,1
2021-01-23,33,12,7
2021-01-24,38,16,6
2021-01-25,36,14,4
2021-01-26,34,13,2
2021-01-27,36,15,2
2021-01-28,35,13,4
2021-01-29,35,13,3
2021-01-30,37,18,2
2021-01-31,37,16,1
2021-02-01,38,15,5
2021-02-02,42,15,7
2021-02-03,39,13,1
2021-02-04,33,9,0
2021-02-05,34,8,1
2021-02-06,35,7,3
2021-02-07,37,7,1
2021-02-08,36,6,3
2021-02-09,33,8,8
2021-02-10,34,8,2
2021-02-11,32,13,4
2021-02-12,27,7,3
2021-02-13,19,9,2
2021-02-14,18,9,1
2021-02-15,21,10,3
2021-02-16,24,9,2
2021-02-17,25,9,4
2021-02-18,25,10,2
2021-02-19,24,10,0
2021-02-20,25,7,4
2021-02-21,20,7,2
2021-02-22,25,7,4
2021-02-23,25,6,3
2021-02-24,20,6,1
2021-02-25,18,5,4
2021-02-26,21,6,5
2021-02-27,17,4,3
2021-02-28,15,4,1
2021-03-01,15,3,3
2021-03-02,14,2,1
2021-03-03,16,3,3
2021-03-04,15,2,2
2021-03-05,13,1,1
2021-03-06,11,1,3
2021-03-07,6,1,0
2021-03-08,7,3,2
2021-03-09,8,3,2
2021-03-10,9,4,4
2021-03-11,8,4,2
2021-03-12,8,5,2
2021-03-13,7,5,2
2021-03-14,8,4,1
2021-03-15,8,4,2
2021-03-16,10,5,2
2021-03-17,10,2,1
2021-03-18,9,2,1
2021-03-19,14,2,1
2021-03-20,14,1,2
2021-03-21,16,2,3
2021-03-22,17,3,1
2021-03-23,17,5,3
2021-03-24,14,1,2
2021-03-25,16,1,3
2021-03-26,17,1,3
2021-03-27,18,2,0
2021-03-28,12,3,0
2021-03-29,13,2,1
2021-03-30,14,2,0
2021-03-31,13,2,1
2021-04-01,13,2,0
2021-04-02,13,1,0
2021-04-03,14,1,1
2021-04-04,11,1,1
