measure_name,location_name,fips,race_name,sex_name,age_name,cause_name,year,metric_name,val,upper,lower
Deaths,Alameda County,6001,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Alameda County,6001,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Alameda County,6001,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Alameda County,6001,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Alameda County,6001,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Alameda County,6001,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Alpine County,6003,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Alpine County,6003,Latino,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Alpine County,6003,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Alpine County,6003,White,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Alpine County,6003,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Alpine County,6003,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Amador County,6005,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Amador County,6005,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Amador County,6005,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Amador County,6005,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Amador County,6005,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Amador County,6005,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Butte County,6007,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Butte County,6007,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Butte County,6007,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Butte County,6007,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Butte County,6007,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Butte County,6007,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Calaveras County,6009,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Calaveras County,6009,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Calaveras County,6009,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Calaveras County,6009,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Calaveras County,6009,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Calaveras County,6009,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Colusa County,6011,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Colusa County,6011,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Colusa County,6011,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Colusa County,6011,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Colusa County,6011,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Colusa County,6011,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Contra Costa County,6013,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Contra Costa County,6013,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Contra Costa County,6013,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Contra Costa County,6013,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Contra Costa County,6013,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Contra Costa County,6013,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Del Norte County,6015,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Del Norte County,6015,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Del Norte County,6015,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Del Norte County,6015,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Del Norte County,6015,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Del Norte County,6015,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,El Dorado County,6017,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,El Dorado County,6017,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,El Dorado County,6017,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
